path	provisional_role	review_coverage	lines	sha256	title
AGENTS.md	navigation-process-planning	assigned-root-review	1181	8f3908becc28408e3487837a7cbb4f243d8967d5223207fc1997d06b9b766352	AGENTS.md — Project Guide
BACKLOG.md	navigation-process-planning	assigned-root-review	1002	60893d3e30a3c2bd57be69afb444bf854249e741f8e832d40c9b9dfc9fd045ea	Backlog — Work Packages
CLAUDE.md	navigation-process-planning	assigned-root-review	12	82dc0cb8eeb80ffb41cffab75c3f5d6468a5b5654a9caba1fc94d0e9c8e7ba8d	CLAUDE.md
README.md	external-owner	excluded-from-rewrite	213	64f7caaec431e91f5fa4e609d28d3ca947cc319685d92f7f0138b67dd73e69c6	Grudgelands
ROADMAP.md	navigation-process-planning	assigned-root-review	443	cef20fae3d8fd82c7a6f96c0496c5724de7dca920f48b48c0fc6b22fea192949	Roadmap — Grudgelands
TODO-design-crafting-rework.md	open-decisions	assigned-topic-review	74	c0af4284bd56cfd50e3d734cdca704da5debf24c0c4fe79db223054f3ed751fc	TODO — Crafting rework: what the 2026-08-07 session left open
TODO-design-depth.md	open-decisions	assigned-topic-review	220	232c71dc24e4b688f53019740f7fe52ca1452e4d0f4bcff7bbe29683386f2761	TODO — Depth: danger, spawn pressure and where resources come from
TODO-design-nether.md	open-decisions	assigned-topic-review	67	de0ae0061a671299863f0b9d2c424e47ee271fe1d98c20e1ece9228b70e49500	TODO — The Nether (Phase 2; spec in progress)
VENDOR.md	provenance-preserve	excluded-from-rewrite	393	32ad277a10d0d5e746e3fe04891a718c49f1173b6e0f67f2bfd1f44951b24a97	Vendored Third-Party Code
docs/design/README.md	living-design	assigned-topic-review	63	df140455215b8fc782098b178e15679e458f005a18f4d1cde966716fef2be13b	Game Design Docs
docs/design/biomes_mobs.md	living-design	assigned-topic-review	1840	2093f342987aa80977009022185877f34405518834cd77e45ca9b0b9d3b96ec5	Biomes & Mobs — Catalog
docs/design/boats.md	living-design	assigned-topic-review	169	e6e5fae14a1ac82ff1b35a130217b69275a402830ac2e17d0978fca551d38d9e	Boats — Water Travel, Ocean Danger and the Dragon Islands
docs/design/character_visuals.md	living-design	assigned-topic-review	220	eac09ff3128dd5ea913fc24be2081c245275019219e6b13a15d233ab2e35e055	Character visuals
docs/design/classes.md	living-design	assigned-topic-review	579	f834dd5a0f5c234020b6e9fbb6ffcb1f56c44491e7e791022da0e931f7783529	Class Kits — Resources & Abilities (MVP)
docs/design/combat_stats.md	living-design	assigned-topic-review	1023	9cb916bf87d94e8765e2cd9aaa235f53e35d44a93c03d08d03e3611610fd730c	Combat, Attributes & Progression Mechanics
docs/design/crafting_equipment_revision.md	living-design	assigned-topic-review	164	ff5b2def31d68282299b9bd26e742c8269a3b4d518d83e72b4534d392a76d130	Crafting stations, enchanting and equipment — current rules
docs/design/durability_repair.md	living-design	assigned-topic-review	82	3ffa1d3ba849bc02becc678a1b3bcfc56ef0fa8c0ef3d1f0b9d22602a172ca9d	Durability and repair
docs/design/economy.md	living-design	assigned-topic-review	158	9fbbbe11974725642f74c98a733fdf9415783f724829b07d6c8f3d30625539b6	Economy — Currency & Money Flow
docs/design/farming.md	living-design	assigned-topic-review	120	502e297614d9fe18db7c844377ef68425b1ec1db6fa1f37b19158882f267331e	Farming and wild plant renewal
docs/design/home_travel.md	living-design	assigned-topic-review	30	77f7dd3d1d2bdcaefdf1e014d36454320a4dd01672ea098999920817deaffdbf	Innkeeper home travel
docs/design/housing.md	living-design	assigned-topic-review	774	4c5bec5bb6f87c64b3cd99ea0ad524c6337e9e5a1941d526fefd2276d17bb868	Open-world Housing Claims
docs/design/inventory_equipment.md	living-design	assigned-topic-review	332	78a9c803dc417e3f34e88b9cf392fcdac55dbc00c4a1581d47cb680ff458d989	Inventory, Character Screen & Equipment
docs/design/items_crafting.md	living-design	assigned-topic-review	2375	a73b74f02b3c1170be235279d105b6a193e9a796aa35c767334207f54efc3b33	Items, Crafting & Loot — Full Design Spec
docs/design/mounts.md	living-design	assigned-topic-review	437	9fc18b3474535f03101041cee6fe1be78dac767765ea5fc0540f3962b27b43d9	Mounts — Riding, Speed Tiers & No-Mount Zones
docs/design/parties.md	living-design	assigned-topic-review	91	6dad94505c9173c0d0b9d37bd7eedaf2990ee4860eacf99bd504e17afab05ea6	Parties
docs/design/playtest_quality_revision.md	living-design	assigned-topic-review	64	7241bd22896004c1497c48b85b52b2c99f8dfeaf138d8afb87c415f34fd4984f	Playtest quality revision — Round 18
docs/design/professions.md	living-design	assigned-topic-review	244	3424f6ecf751717834b8b46781b03388aecc3e6df875576dae67660a6c08b271	Professions
docs/design/progression.md	living-design	assigned-topic-review	154	4a419a3350b6018ae2a93674a58bc9baac2663703cd516d69a09c9a830449359	Progression — Pacing, Death, Reward Cadence
docs/design/quests.md	living-design	assigned-topic-review	92	ac9f1cf9fe18b846342c1321683d6002812494f8991a967930e329f22ed5b43e	Quests
docs/design/scout.md	living-design	assigned-topic-review	647	2f6fc72cc58ba2a53095786e11c2bd235b4b974b440cb156474597448bbc13da	Scout — the fourth class
docs/design/settlements.md	living-design	assigned-topic-review	512	88c357a543cfddf92fbce26811971dc3cea32657aac23538b57ba0016f633dfb	Settlements
docs/design/skill_trees.md	living-design	assigned-topic-review	1570	c358c194e93a28adcf50f7c1d3ab312735e098f25d4e4e91b3ab89a95f123ea3	Skill Trees (Talents) — WP11
docs/design/story.md	living-design	assigned-topic-review	75	5557a3d59eea2a0efeb1370e34bcb2e492d7b211be32830d5017574f50f6d1fd	Story & Main Questline
docs/design/world.md	living-design	assigned-topic-review	1055	aa0963bdfb90f4f66216bf9ebb3899abe02da258b2e7cf89bf852a4e9a64cafb	World Design
docs/design/world_map.md	living-design	assigned-topic-review	75	49b20facb69e12d09d39501d4ebb77caa76bf397953aa2b3c4ee4a7a8cd0f560	World atlas
docs/design/world_preparation.md	living-design	assigned-topic-review	135	509c50f22546ca80ed650edcb9d5f81d8fe4d7dfee012f051265f273f00baaab	World preparation
docs/design/world_zones.md	living-design	assigned-topic-review	1768	beee3a7763f9195d036e6aeb8925f53ba048c59d1583a7e3e9097693cc4c3207	Named World Zones & PvP Geography
docs/process/agent-model-policy.md	navigation-process-planning	assigned-root-review	291	2b66f7dbaf6eb0a2255a3576be734f2b9ed7a72d4fcfbb1f49488aabd42f6317	Agent model policy
docs/process/claude-cli-review.md	navigation-process-planning	assigned-root-review	134	86512e94837c42ed3777dd330d46fa661bf548d83392c513522bb4ffc555284f	Claude CLI review procedure
docs/process/cross-cli-orchestration.md	navigation-process-planning	assigned-root-review	330	133c8d6487b36d9d68e9e8bc008c4185b1a82504b1b6de65dbdfd434a14cded7	Cross-CLI orchestration: Claude and Codex driving each other
docs/process/wp-workflow.md	navigation-process-planning	assigned-root-review	142	b5184994a689d73c54a98325d9013553acb6467a1d8addd8e5a6f3bc4cd9a2c5	Autonomous WP Workflow
docs/reference_projects.md	supporting-markdown	structural-only	118	9229fba6439b6fcde2e5620b948442796911c85a65fee84b0705dee03cd99bc3	Reference projects
docs/research/assets/asset-audit-2026-09-14.md	historical-evidence	structural-only	54	b69ed8411ce3b6da3129b9474838932ce27921216446dbafa17c0e7159d366ab	Asset/Code Source Audit — third-party Luanti mods for Grudgelands
docs/research/assets/biomes_flora.md	research-or-decision-record	structural-only	60	fdfc5ef8a154106f0778cd59fb6919143f8a2f30403e0bfb0a897df7d2734daf	Research: Biome & Flora Assets (Trees, Plants, Terrain Nodes)
docs/research/assets/humanoids_races.md	research-or-decision-record	structural-only	66	461535ec254012fecabdb924b6877dc5a7f24fc18a434a47e8bde886fcdaee80	Research: Humanoid & Race Models/Skins
docs/research/assets/mobs_animals.md	research-or-decision-record	structural-only	60	a6d140371bb61739f15c4c17df4b129de296593baafea1ac99ffda9574e6f782	Research: Mob/Animal Mods — Reusable Assets
docs/research/assets/plants_farming_food.md	research-or-decision-record	structural-only	103	68df31d12dd83e0342fbbda228293d6ce1edbb0e67d84fe4ffa3d2d58164d80b	Research: Plants, Herbs, Farming & Food Mods
docs/research/assets/sounds_ambience.md	research-or-decision-record	structural-only	77	1a640da3d740bb788865ff9000a719440fe2332905309974dd5cefdba34ff988	Research: Sounds & Ambience
docs/research/assets/structures_decor.md	research-or-decision-record	structural-only	73	17d09429a7cdc23b2bca9a0c849822c58ed7634a0ff4700d384a84e2e37010d6	Research: Structures, Schematics & Decoration
docs/research/assets/weapons_armor.md	research-or-decision-record	structural-only	83	079a47018a750cded1eae97068706bcef53722d82b9e1803504afa60920955a6	Research: Weapons, Armor & Class Equipment
docs/research/assets/wp6_model_notes.md	research-or-decision-record	structural-only	499	c98665bac199ffcc4f33948a890acf4decae11446582fd1020a4557ea74df8a6	WP6 Model Port Notes (mob media, T4 output)
docs/research/balance-r6-after.md	research-or-decision-record	structural-only	33	3bff46a59d838e5775065439c8b7a51160b859f884f9ee5bb84f01610aff0579	Round 6 balance result
docs/research/balance-r6-before.md	research-or-decision-record	structural-only	26	803acb5e139ba2cb4f6eb2c756b7a85774eaea8dae12f9356e61647164fe23bf	Round 6 balance baseline
docs/research/balance-r6-start-levels.md	research-or-decision-record	structural-only	21	215ae944eeeb5f85ae1fbf049ee97f6c8c68411ab6dbf67b76db333bc0b58f0b	Round 6 start-level probe
