step	category	feature_or_zone	coordinates_xz	depth_or_y	exact_provenance	automatable_checks	user_judgement	risk_focus
1	both_start_settlements	Elandor Human Dawnmere / Kragmar Orc Sunscar	0,-2550;0,2550	surface	anchors anchor_002 and anchor_005; source/simple_map.lua:358-363; zones 6 and 22	anchor/zone/terrain/water query; start-core and route-exit predicates	Is each start legible as safe outer 1-10 home and not visually cramped?	anchor build, start-core dryness, faction-side readability
2	both_capitals	Highcourt / Gor Drazhak	0,-1500;0,1500	surface	anchors anchor_008 and anchor_011; source/simple_map.lua:364-369; zones 8 and 24	anchor/zone/terrain/water query; civic no-hostiles policy; four approach/ingress route queries	City silhouette, four-way approach, civic centre and faction identity	capital grade, river/mesa readability, ingress continuity
3	typical_inland	Goldmead Vale / Redtusk Savanna	0,-2050;0,2050	surface	zone hubs source/simple_map.lua:89 and 105; relief lowland/rolling_hills; allowed palettes	id_at, biome_at, terrain_height_at, surface_mob_level_at; palette membership	Does ordinary level-11-20 terrain read as usable inland progression rather than a landmark set?	seed-varying relief and biome patch composition
4	zone_faction_boundary	Elandor front edge / Kragmar front edge	0,-250;0,250	surface	Battlegrounds rectangle source/simple_map.lua:27; zones 10/26 and 35/36 in source rows 92,108,117,118	id_at, territory_rule_at, pvp_rule_at, water_class_at, nearest_route_at	Boundary is understandable without a hard artificial wall; contested transition is visible	PvP boundary semantics versus visual ambiguity
5	battlegrounds	Broken Causeway / Shattered Line	-750,0;750,0	surface	zone hubs and landmarks source/simple_map.lua:117-118,691-695	zone/level/pvp queries; landmark ownership; crossing/route records	Parallel lanes, breached walls, marsh/trenches and no single choke feel believable	front route access, battlefield dressing, mutable shell
6	road	Goldmead--Highcourt primary road	0,-1900	surface	route_006 via pin {7,8,primary,0,-1900}; source/simple_map.lua:199-205,264-278	nearest_route_at; class=primary; centreline/corridor width; land/water exclusion	Road reads as a continuous traversable spine and not as an unexplained stripe	route grading and exclusion corridor
7	river_crossings	Whitebridge bridge and ford	-400,-1500;-900,-1100	surface	crossing interfaces source/simple_map.lua:281-290; hydrology entries source/simple_map.lua:744-745	nearest_hydrology_at; crossing kind; route interface; water/bed/clearance APIs	Bridge and alternate ford are visually distinct, both reachable, and not one accidental wall	water transition, bridge clearance, alternate crossing
8	lake	Lethariel Crownlake	1800,-1500	surface	zone/landmark source/simple_map.lua:95,651; hydro_lethariel_lake source/simple_map.lua:746	id_at/biome_at; nearest_hydrology_at; ordinary_lake depth profile	Lake, concentric capital terraces and ramps compose clearly; no route is gated by one shore	civic water grading, lake/route interaction
9	coast_shelf_deep_ocean	Copperfell coast / nominal shelf / Elandor bay mouth	-2350,-2200;-2600,-2200;-1000,-3100	surface	coastal_core_copperfell and landmark copperfell_coastal_terraces; shelf_width=80; bay_elandor_west deep cut -3000; source/simple_map.lua:20-27,172-177,338-354	water_class_at; expanded-land/shelf predicate; bay/deep-ocean precedence; zone ownership	Coastline, 80-node shelf and open-ocean mouth have a natural visual gradient and readable limits	coastal core overlap, shelf edge, mouth outside ordinary land
10	dragon_channel_west	Wyrmglass immutable channel	-2675,0	surface	channel_wyrmglass polygon and minimum_hard_width=104 source/simple_map.lua:184-186; boat paths/landings:307-318	water_class_at=immutable_dragon_channel; flight/fill/bridge protection; boat route endpoint queries	Channel reads as a real separation with two approach lanes, not a missing chunk	full-column immutability and landing reachability
11	dragon_channel_east	Stormscale immutable channel	2675,0	surface	channel_stormscale polygon and minimum_hard_width=104 source/simple_map.lua:184-186; boat paths/landings:307-318	water_class_at=immutable_dragon_channel; flight/fill/bridge protection; boat route endpoint queries	Same check from the opposing side; compare approach quality with west channel	channel symmetry/parity without requiring geometric mirror
12	both_dragon_islands	Wyrmglass Crown / Stormscale Summit	-3150,0;-3260,-40;-3200,80;3150,0;3260,-40;3200,80	surface	zone hubs/polygons source/simple_map.lua:115,120,179-181; boat/island routes:307-334; dragon/apex anchors:444-447	id_at, terrain_height_at, anchor(), boat landing and apex socket API; 12 sockets per apex	Both islands have a strong mountain endpoint, independent dragon/mine readability and two landing choices	level-60 silhouette, island access, socket/anchor preservation
13	housing_mask_example	Goldmead housing mask	0,-2085	surface	`housing_elandor_goldmead` polygon (-600,-2260)..(600,-1910); source/simple_map.lua:337-348; policy width 101/radius 50 at lines 30-44	grug_zones.housing_eligible_at; 101x101 footprint; static exclusions; zone ownership	A plausible, continuous buildable patch is visible and not hidden by route/POI clutter	mask false positives, relief <=12 requirement, claim exclusion
14	deep_strata_cave_dungeon_resource	Deep cross-border witnesses	-2459,-2283;-1691,191	-834;-842	docs/research/wp40-simple-map-r6-artifact.tsv:14-15 (access_deep_cross_border); R6 native-region witnesses; WP43 depth tiers; no fixed cave/dungeon anchor claimed	id_at, territory_rule_at, pvp_rule_at and mob_level_at; grug_materials.tier_at; inspect native cave air, strata, ore/resource and dungeon nodes if present	User confirms that deep space is visually coherent and that cave/stratum/dungeon/resource evidence is inspectable without implying guaranteed placement at these points	R7/R6 are sampled offline; native cave/dungeon presence and lighting require real-world observation
