logical_biome_id	top_node	top_depth	filler_node	filler_depth	dust_node	shore_node	bed_node	water_material_rule	proposed_decoration_asset_set	gathering_boundary	authority_map
grug_meadows	default:dirt_with_grass	1	default:dirt	3	-	default:sand	default:sand	by_R5_water_role	apple_tree;bush;grass_1..5	WP33 owns herbs, spices, crops and gathering behavior; cosmetic flowers wait for a registered node owner and R6 emits no placeholder.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
grug_pine_hills	default:dirt_with_coniferous_litter	1	default:dirt	3	-	default:gravel	default:gravel	by_R5_water_role	pine_tree;small_pine_tree;pine_bush;blueberry_bush;fern_1..3	WP33 owns gathering behavior and later Gravemoss; boulders wait for a decided asset/shape and R6 emits no invented representation.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
grug_crags	default:gravel	1	default:gravel	2	-	default:gravel	default:gravel	by_R5_water_role	snowy_pine_surface_y_at_least_60	WP33 owns Dragonweed; Frost Lichen remains optional and absent.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
grug_crags_snowy	default:snowblock	1	default:gravel	2	default:snow	default:gravel	default:gravel	by_R5_water_role	none	Snow dust settles only on exposed dry top.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
grug_elf_forest	grug_nodes:dirt_with_silver_litter	1	default:dirt	3	-	default:sand	default:sand	by_R5_water_role	silverwood_via_aspen_replacements;apple_tree;grass_1..3	WP33 owns berries, Sunleaf and gathering behavior; white flowers wait for a registered node owner and R6 emits no placeholder.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
grug_deep_forest	grug_nodes:dirt_with_forest_litter	1	default:dirt	3	-	default:sand	default:sand	by_R5_water_role	apple_tree;aspen_tree;fallen_apple_log;fern_1..3	WP33 owns mushrooms, Dragonweed and gathering behavior.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
grug_swamp	grug_nodes:mud	1	grug_nodes:mud	2	-	grug_nodes:mud	grug_nodes:mud	by_R5_water_role	papyrus;dry_shrub	WP33 owns reeds, waterlilies, Marshbloom, mushrooms and gathering behavior; the optional willow/gravewood retint waits for a decided asset and R6 emits no placeholder.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
grug_savanna	default:dry_dirt_with_dry_grass	1	default:dry_dirt	3	-	default:sand	default:sand	by_R5_water_role	acacia_tree;acacia_bush;dry_shrub;dry_grass_1..5	WP33 owns corn, Sunleaf and gathering behavior; no new waterhole writer.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
grug_badlands	grug_nodes:mesa_clay	1	grug_nodes:mesa_clay	3	-	default:gravel	default:gravel	by_R5_water_role	large_cactus;dry_shrub	WP33 owns Dragonweed; no optional mesa-banding writer.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
grug_badlands_east	grug_nodes:mesa_clay	1	grug_nodes:mesa_clay	3	-	default:gravel	default:gravel	by_R5_water_role	large_cactus;dry_shrub	Same target surface content as Badlands; Troll-region ownership remains R4 authority.	top_node=biomes_mobs_section_1_3_migration_pending_A;top_depth=legacy_migration_pending_A;filler_node=legacy_migration_pending_A;filler_depth=legacy_migration_pending_A;dust_node=approved_D3_2026-08-28;shore_node=approved_D3_2026-08-28;bed_node=approved_D3_2026-08-28;water_material_rule=approved_D3_2026-08-28;proposed_decoration_asset_set=pending_A_target_plus_legacy_roster;gathering_boundary=wp33
